"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='0deg'"
0,-19.909108975154
2,-19.9322863628294
4,-19.848392001643
6,-19.7130325333849
8,-19.5857656265222
10,-19.4685258769063
12,-19.3045018865428
14,-19.0627022216152
16,-18.8011842008522
18,-18.6237223011941
20,-18.5872830562173
22,-18.6274495078454
24,-18.6157161370046
26,-18.5229812095192
28,-18.3727801628949
30,-18.1428934231864
32,-17.8560457338315
34,-17.5703488532901
36,-17.4206005153784
38,-17.5962390415656
40,-17.9527453120932
42,-18.1101190537478
44,-18.2332799167491
46,-18.6769837504172
48,-19.1666906987757
50,-19.1956124649958
52,-18.9136124389489
54,-18.7937459400204
56,-19.0472132896006
58,-19.5751762254503
60,-20.0365642562092
62,-20.2796778424047
64,-20.605053071795
66,-21.1658299306268
68,-21.7934413067709
70,-22.486463965781
72,-23.4189703821487
74,-24.6161108919096
76,-25.961641740502
78,-27.2793539476772
80,-28.5458571083003
82,-29.9961438853522
84,-31.4918432295524
86,-32.3380249532467
88,-32.6807754207225
90,-33.3923958790279
92,-34.7895058488961
94,-36.6251974730307
96,-38.3729455872659
98,-39.4850117264194
100,-39.8189308425423
102,-39.8684683006541
104,-40.248208262548
106,-41.0668500406229
108,-41.7066675338054
110,-41.8204171774153
112,-42.3920267671666
114,-44.2684280321015
116,-45.6827924819795
118,-44.0935342830237
120,-42.907367475885
122,-43.2763138266664
124,-44.4962295351181
126,-44.097474080371
128,-41.3484692569704
130,-39.801758461189
132,-40.0698026353827
134,-40.9441074447279
136,-41.3035773385784
138,-40.1504922705438
140,-38.154717322981
142,-37.3131137182966
144,-37.7213183965076
146,-38.1606081773327
148,-37.5381001959607
150,-36.3549991245989
152,-35.9084147275768
154,-36.8568428350079
156,-38.5899790183908
158,-39.7717635383647
160,-41.2412585429346
162,-42.6098577146055
164,-41.1526529979722
166,-40.669943341047
168,-42.8223063886294
170,-43.4363950209541
172,-40.9314408451668
174,-40.5311202629837
176,-43.0062690284166
178,-48.355403607915
180,-50.3548667205605
182,-46.4316882170948
184,-43.8017111833786
186,-43.1172262432073
188,-45.3664711438616
190,-47.2639939798158
192,-41.5603548575065
194,-39.0101134979107
196,-40.1737531563454
198,-42.9726219600663
200,-41.1281037288653
202,-39.7308064824328
204,-39.4039223472911
206,-37.8263280932828
208,-36.9754162717156
210,-37.9957735496002
212,-39.700588677871
214,-39.2803336443256
216,-37.4437281314826
218,-36.6204351138832
220,-37.529608676152
222,-39.7969375042612
224,-41.3087482342294
226,-40.9777944687616
228,-40.5431376444971
230,-40.9068899200072
232,-42.5631977454512
234,-44.1727705003099
236,-43.6955654779452
238,-42.9580241413302
240,-42.6608051516087
242,-42.6834842837864
244,-42.8924907103278
246,-43.6311345217235
248,-44.8752823639602
250,-44.0115522582407
252,-41.8525188964141
254,-40.6235595552962
256,-40.0476922532295
258,-39.2622822468429
260,-37.9553679106605
262,-36.5743866436245
264,-35.5363193279426
266,-34.8715591454459
268,-34.3570947303906
270,-33.730651986082
272,-32.9131946751962
274,-31.9530816897653
276,-30.8562416168826
278,-29.6723335752901
280,-28.4723903291146
282,-27.2321054081234
284,-25.9661466541803
286,-24.7629060947613
288,-23.6657723325312
290,-22.7133506857897
292,-21.9053848948645
294,-21.1749434194459
296,-20.6240746747921
298,-20.4166213702551
300,-20.2896982175052
302,-19.7723957222787
304,-19.0747111152291
306,-18.719810595657
308,-18.8009869576886
310,-19.0619627866546
312,-19.1372649273225
314,-18.760064168733
316,-18.2211754043872
318,-18.0073859531605
320,-17.9595888268074
322,-17.6611881283071
324,-17.3747963137018
326,-17.4753366001147
328,-17.7987010231872
330,-18.0150659612906
332,-18.1355950458851
334,-18.3574358975877
336,-18.6682282641329
338,-18.8404427278525
340,-18.8096528510067
342,-18.7909787734995
344,-18.9383616592206
346,-19.1875181234134
348,-19.3806920238502
350,-19.4412848245144
352,-19.4354110491978
354,-19.4757718982828
356,-19.6059348564165
358,-19.7792811578765
360,-19.909108975154
