"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='-90.0000000000002deg'"
0,-29.4049795146099
2,-28.9367271723507
4,-28.3736075608226
6,-27.9287518898171
8,-27.681831324381
10,-27.5234753606776
12,-27.245846348309
14,-26.7422422122699
16,-26.1460772083864
18,-25.7391486473142
20,-25.7229199318102
22,-26.0437722502595
24,-26.384892791313
26,-26.3900371656132
28,-25.9533445227605
30,-25.2353186849309
32,-24.4198000270063
34,-23.6465982386139
36,-23.1113598515153
38,-22.9276287980176
40,-23.0119589261899
42,-23.2620277469808
44,-23.6337434551194
46,-23.9388218738245
48,-23.9175651252754
50,-23.6246106332384
52,-23.319303337362
54,-23.1534640287594
56,-23.2221676210916
58,-23.5061215378032
60,-23.7847964683047
62,-24.0314523854742
64,-24.4415141843873
66,-24.9316255003809
68,-25.454574766611
70,-26.3591701394935
72,-27.6995988232241
74,-28.9483297592153
76,-30.0215997648113
78,-31.4031298288516
80,-32.8532019004473
82,-33.7838865706146
84,-34.7210263283027
86,-36.2558806720095
88,-37.8865383914009
90,-38.9734615935669
92,-40.2196635824163
94,-42.3050027608391
96,-44.2014255447941
98,-44.4635410322521
100,-44.8445416292397
102,-46.733010333141
104,-48.4130465001239
106,-46.8852517618255
108,-45.4543344000954
110,-45.7423061006876
112,-47.1554572521436
114,-47.8250015451406
116,-47.4265713307734
118,-47.4061727666396
120,-47.6038913864904
122,-47.7025762943256
124,-48.0429212996919
126,-48.198391570373
128,-47.4086456533238
130,-45.9538435429295
132,-45.3607215724053
134,-46.3997507428918
136,-48.2324068915878
138,-48.0347772798528
140,-45.4433966336342
142,-43.9283283939238
144,-44.457864121975
146,-45.8243404632975
148,-45.2003908437008
150,-42.5752716377458
152,-40.9293557017609
154,-41.6380756166677
156,-44.6578885979772
158,-47.5133471867633
160,-49.4738177282108
162,-54.9869111319224
164,-54.805652637236
166,-51.040769348877
168,-49.3430816373905
170,-46.2917696312346
172,-43.5531995091483
174,-42.2804665275123
176,-42.4038597226718
178,-43.4812945164361
180,-44.5604875041506
182,-44.9409619562918
184,-44.738148157687
186,-43.861250121789
188,-43.1020722045378
190,-43.7252731109578
192,-45.8595731019145
194,-46.9037217065984
196,-45.6868821071161
198,-44.0609079615284
200,-41.9461785088025
202,-40.428985379597
204,-40.0811637366595
206,-40.3694007432284
208,-40.6641311229497
210,-40.6668130474779
212,-40.3798163333511
214,-40.2972845719737
216,-40.5639550014986
218,-41.2108047241425
220,-42.7102075442905
222,-44.5669564778141
224,-45.0237910804732
226,-44.6888426236266
228,-44.6907196368224
230,-45.621308818594
232,-47.9339312696215
234,-50.1327098990697
236,-49.8932922127193
238,-49.0394841155171
240,-48.8353711603302
242,-49.2933805762508
244,-49.1792437262019
246,-48.5961023389474
248,-49.1970755976899
250,-49.6664128232628
252,-47.4168381756173
254,-45.4823198541473
256,-45.185900106211
258,-45.7461152147819
260,-45.5827073863603
262,-44.6265129841077
264,-43.9592660716276
266,-43.3772250141159
268,-42.1429514903975
270,-40.9061630905145
272,-40.4863617136684
274,-40.0966746016158
276,-38.3713907960247
278,-36.5676662438406
280,-35.6999329607333
282,-34.8077137549139
284,-33.0541008716595
286,-31.3773205404033
288,-30.1395979682407
290,-29.0863654542649
292,-28.331607491964
294,-27.8286551229301
296,-27.2916689784177
298,-26.9479799724527
300,-26.7127991824989
302,-25.9536643227558
304,-25.167003550091
306,-25.1090162407348
308,-25.6362662772432
310,-26.2389748966982
312,-26.5983931405804
314,-26.6469557256262
316,-26.6428844570876
318,-26.7571761945388
320,-26.6744810427208
322,-26.1500584353581
324,-25.5820972518842
326,-25.3098994239836
328,-25.236808690686
330,-25.2905991834198
332,-25.5566643961919
334,-26.0175608725008
336,-26.6151943123759
338,-27.3448691596502
340,-28.1115817311851
342,-28.7072665672843
344,-29.0065874695484
346,-29.1144145078707
348,-29.2128394498877
350,-29.3472689105806
352,-29.4692929366376
354,-29.5644254341812
356,-29.6367931047261
358,-29.6249636140032
360,-29.4049795146099
