"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='0deg'"
0,-29.4049795146099
2,-28.9229432925997
4,-27.8093130089972
6,-26.9155010267135
8,-26.6200227296341
10,-26.6961055374168
12,-26.6041129468964
14,-26.0827991649696
16,-25.2576356985147
18,-24.3966500401005
20,-23.7816365279512
22,-23.3981408219467
24,-22.9333719629308
26,-22.2280480203139
28,-21.4138081362875
30,-20.7182223088109
32,-20.2724727400237
34,-19.9833407138308
36,-19.8023756331501
38,-19.8217958115061
40,-19.9175490148625
42,-19.9621285604961
44,-20.1403103827278
46,-20.4515270797586
48,-20.5641610204388
50,-20.3226498092383
52,-19.8734026402264
54,-19.5028372186205
56,-19.491112079266
58,-19.7610338066735
60,-19.8743988275564
62,-19.7578319697542
64,-19.6702128539521
66,-19.6232908097157
68,-19.7207118090592
70,-20.1931118056972
72,-20.9550875013654
74,-21.7642514785514
76,-22.5888426449945
78,-23.4049378822722
80,-24.1222769395051
82,-24.8500447436891
84,-25.7459552080459
86,-26.7601120870813
88,-27.6913742919329
90,-28.4377447427119
92,-29.1975900178927
94,-30.2381204728519
96,-31.4660952267328
98,-32.443943923683
100,-33.0626412670758
102,-33.6751999682743
104,-34.4035591158525
106,-35.0165109653469
108,-35.4215276819932
110,-35.8612148088761
112,-36.5053698504515
114,-37.2166645669861
116,-37.7460049419011
118,-37.980412395233
120,-38.0825985846002
122,-38.4388720405465
124,-39.2889804223455
126,-40.4452361029919
128,-41.0762197148269
130,-40.8472929555914
132,-40.7980435624826
134,-41.1479305829158
136,-41.3662978197289
138,-40.5546699605421
140,-38.6917134902636
142,-37.8648804437128
144,-38.815006535599
146,-40.1999180563857
148,-39.3880453218806
150,-37.3820809507732
152,-36.6506858038293
154,-37.9827984674471
156,-40.1159436080221
158,-40.5435199019978
160,-41.2791412304975
162,-42.0882354631805
164,-41.0757899757766
166,-41.7186757328777
168,-46.7203973300229
170,-49.9726345917946
172,-44.6300396560173
174,-44.8634215883799
176,-49.4869250135411
178,-47.2442720786218
180,-44.5604875041506
182,-46.9551536290315
184,-51.4576941560107
186,-45.8263966606735
188,-44.614456687224
190,-48.7490225613133
192,-46.8703953278379
194,-41.5867786319257
196,-40.3715118670961
198,-40.4549772226547
200,-39.16505205034
202,-38.5251995692478
204,-39.1452830633457
206,-38.0793918496718
208,-36.4697450835318
210,-36.6614199929825
212,-38.4244741942537
214,-40.1345885738012
216,-39.9987867594186
218,-39.1062111749068
220,-39.4165231551979
222,-40.9042105909511
224,-41.4549008584263
226,-40.924666805326
228,-40.8464717356695
230,-41.1927899132038
232,-41.3254624548721
234,-40.8047515573918
236,-40.2108153265031
238,-40.0661496739713
240,-40.0716198829863
242,-39.6883515542031
244,-38.8295941952246
246,-37.9487219041652
248,-37.2642719317242
250,-36.4580090332965
252,-35.47287498278
254,-34.6863471781427
256,-34.1350469578823
258,-33.4807798933306
260,-32.6826910835225
262,-32.0754557049578
264,-31.7613167780908
266,-31.3961526114937
268,-30.5791779331517
270,-29.3555570748722
272,-28.094351582872
274,-27.1068270042347
276,-26.4248353731835
278,-25.778883715349
280,-24.9223947109776
282,-23.9366997301629
284,-23.0249965577321
286,-22.2378121237475
288,-21.4472231484129
290,-20.6518522832749
292,-20.1550724741864
294,-20.1015591841436
296,-20.214475009802
298,-20.2665360990479
300,-20.2474198704893
302,-20.0011409055542
304,-19.6760485508851
306,-19.7156920027627
308,-20.1414436634355
310,-20.5510306046738
312,-20.5987187032074
314,-20.3196537431964
316,-20.0708240314385
318,-20.0879179309067
320,-20.0967317972792
322,-19.8119264111319
324,-19.6138354373915
326,-19.8317414321786
328,-20.2906413941019
330,-20.8133459472465
332,-21.433205809454
334,-22.0510416566008
336,-22.4805349577365
338,-22.770767995702
340,-23.1974056393781
342,-23.9433013227633
344,-24.8243454510808
346,-25.454434909784
348,-25.7144936545681
350,-25.7585670746537
352,-25.8734765602615
354,-26.4119903533393
356,-27.4974740236404
358,-28.7624046066493
360,-29.4049795146099
