"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='-90.0000000000002deg'"
0,-13.5131450794501
2,-13.3134618906912
4,-13.0607100907759
6,-12.8714610210837
8,-12.8363355226601
10,-12.9528896264589
12,-13.1104221515102
14,-13.182532326302
16,-13.1626894505673
18,-13.1473248401848
20,-13.1953235242028
22,-13.2476047960168
24,-13.1886278731889
26,-13.0322190037552
28,-12.9437314904668
30,-13.001051191576
32,-13.0927348690502
34,-13.0884957392368
36,-13.021217656663
38,-13.0758417208119
40,-13.3899567301748
42,-13.8554585701783
44,-14.2168091844177
46,-14.4140167164983
48,-14.5968201288639
50,-14.8214210681653
52,-15.0228445169541
54,-15.2399608574271
56,-15.5147929480821
58,-15.6971397185403
60,-15.8369914091634
62,-16.2692644681057
64,-16.9560126286048
66,-17.5216019756555
68,-18.1020621697714
70,-18.9988294150913
72,-19.8557508827163
74,-20.4703698975213
76,-21.3988126829195
78,-22.6798989057765
80,-23.5614621809831
82,-24.160602215297
84,-25.3777228983162
86,-27.232149728762
88,-28.5507941410535
90,-29.004837041127
92,-29.9033642416926
94,-31.5980590673363
96,-32.6783654299007
98,-32.6176723248624
100,-33.2431569396041
102,-35.2332119996749
104,-36.6406377144501
106,-35.7224850761198
108,-35.274531397006
110,-36.4936617957291
112,-38.3568651448977
114,-38.402557380959
116,-37.8434060714729
118,-38.5084382450151
120,-39.6868521006316
122,-40.0416338439069
124,-40.3020356469738
126,-41.111822761239
128,-41.7760784446749
130,-42.1149750454346
132,-43.2633482478184
134,-45.5715071419317
136,-45.8001698558651
138,-41.3304963702243
140,-38.0090031483251
142,-37.5591197252098
144,-39.8814945654338
146,-42.6413297834216
148,-41.8099919631192
150,-40.0808237332647
152,-38.9400711754959
154,-38.6650115642207
156,-39.3230845198647
158,-40.1366603142876
160,-37.6732422207936
162,-34.7020265500059
164,-33.9988936448417
166,-35.6802036976833
168,-38.9501999420964
170,-41.1828173604382
172,-41.630646300573
174,-41.3272109987692
176,-40.665457106597
178,-41.4780575966408
180,-45.0430130515679
182,-46.7473573380449
184,-42.5973843313628
186,-40.8571786155798
188,-41.8071729256804
190,-44.8169552959336
192,-43.6600540721807
194,-39.8041538741658
196,-38.6323435252231
198,-40.6167648466083
200,-46.8893158173466
202,-45.8752683136125
204,-40.5925112461258
206,-39.3732054235282
208,-40.0203092793362
210,-39.9337986154588
212,-39.4899005343854
214,-39.5620785744145
216,-39.9203865734953
218,-40.6402346935479
220,-39.9725272025736
222,-39.3432481964481
224,-40.3197122082376
226,-40.9069541325735
228,-41.4142234151234
230,-44.0514642704844
232,-47.672984703238
234,-48.4971021739652
236,-45.8436392767941
238,-43.5175243988464
240,-43.4890253650879
242,-42.6317265168892
244,-39.4456953257623
246,-37.7969122617409
248,-38.1728031374622
250,-39.2261616995433
252,-38.7967439587585
254,-37.6279623235528
256,-37.0308415850288
258,-36.0391294242803
260,-34.1744997190382
262,-33.0844297591849
264,-33.5389414993965
266,-34.0679819338022
268,-32.243953394652
270,-30.2784160609825
272,-29.5604978538809
274,-29.1777461110414
276,-28.0812790986982
278,-27.0761451935816
280,-26.6830662006349
282,-25.933858250666
284,-24.6037059781665
286,-23.7788972195391
288,-23.5051842842893
290,-23.0076914798474
292,-22.2954858072228
294,-21.6665540365063
296,-21.1175893033451
298,-21.0269441622704
300,-21.3859279798121
302,-21.2983647993181
304,-20.8540461167764
306,-20.8186605833091
308,-20.8482679262812
310,-20.4589444481059
312,-19.9989005470762
314,-19.553006626057
316,-18.8965418706595
318,-18.3534645928016
320,-18.1151107792849
322,-17.7103096690442
324,-17.1389318573636
326,-16.9665149812136
328,-17.122314347642
330,-16.9590555029072
332,-16.4053489712905
334,-16.0027119707279
336,-15.9105371464737
338,-15.7974144438451
340,-15.4456404156791
342,-15.0678174973638
344,-14.8706686281105
346,-14.7829567995975
348,-14.6067322191476
350,-14.2781163295765
352,-13.9272043626127
354,-13.7002807563942
356,-13.6217599658066
358,-13.5997136631859
360,-13.5131450794501
