"Theta [deg]","dB(GainTotal) [] - Freq='2.45GHz' Phi='0deg'"
0,-13.5131450794501
2,-13.6450200129324
4,-13.6496009492726
6,-13.5099810393842
8,-13.3136626790202
10,-13.1900790280974
12,-13.1975514452388
14,-13.3008854230953
16,-13.4417218484556
18,-13.5652601877548
20,-13.5959070569714
22,-13.4838947415085
24,-13.2836528339086
26,-13.1592106919607
28,-13.2956829576412
30,-13.7198704220165
32,-14.167078726884
34,-14.2898091247117
36,-14.1742952814007
38,-14.2666009845915
40,-14.6471559312824
42,-14.7636390014493
44,-14.4900030782594
46,-14.5271251443333
48,-15.1317503181978
50,-15.8357812525657
52,-16.1750194302686
54,-16.1096674456466
56,-15.6448006631239
58,-15.0877646666418
60,-15.0043889216896
62,-15.3959366672503
64,-15.5789563105592
66,-15.3905137560852
68,-15.4324107306947
70,-15.8555381226731
72,-16.3624066520507
74,-16.849172305435
76,-17.3992454588094
78,-18.02563094432
80,-18.8223475133161
82,-19.9162371622152
84,-21.1785792496302
86,-22.3099968632596
88,-23.195324787857
90,-23.9443549553621
92,-24.8272525347315
94,-26.0479258061207
96,-27.1379508412679
98,-27.4355692650279
100,-27.7221896038843
102,-28.9500765577487
104,-30.5494690044894
106,-30.8020702775465
108,-30.5129737617733
110,-31.2000965976272
112,-32.6205641199109
114,-33.2703800067631
116,-32.8653432700557
118,-32.8296247568687
120,-33.7767572866223
122,-35.3661506228147
124,-36.7851116330527
126,-37.4018020099124
128,-37.3136342011915
130,-37.4114719701492
132,-38.7900755119326
134,-41.3411204040805
136,-42.151680830144
138,-40.3795849416958
140,-38.583979946281
142,-38.95144750147
144,-40.1364980996732
146,-37.9973453697396
148,-36.6341442948662
150,-37.0581187294436
152,-39.0582408877884
154,-40.7857718326241
156,-37.2435602925049
158,-35.8585875992779
160,-36.4307625814468
162,-34.6887216118808
164,-33.6105428277238
166,-35.4790082459158
168,-37.3477527295721
170,-35.5173016496287
172,-35.1105839497599
174,-36.44701370907
176,-37.5966368625336
178,-39.7037043986094
180,-45.043013051568
182,-39.2872192763079
184,-34.9623911592274
186,-34.8679793594569
188,-39.759159821163
190,-46.6965065531547
192,-37.7250084454265
194,-36.7739810715552
196,-39.18551344933
198,-38.0336961684009
200,-37.7709629467767
202,-45.0467592956918
204,-42.8973650550865
206,-36.609822958129
208,-35.9284606150016
210,-36.6590700594589
212,-36.1820759721317
214,-35.1337828825695
216,-34.7033789511059
218,-35.1659110643662
220,-36.0599196230817
222,-37.0093897277448
224,-38.0249731640823
226,-38.5640708582925
228,-38.1648365851534
230,-37.7599378928547
232,-38.3256142521071
234,-39.7255748195492
236,-40.9675497384112
238,-41.0397974823851
240,-40.1716393410853
242,-38.0469258121025
244,-35.3715466961659
246,-34.0313565761741
248,-34.5769309261846
250,-36.7183019526619
252,-38.6009282530938
254,-37.0031262189209
256,-34.1341816937241
258,-32.0702507581481
260,-30.9401314028868
262,-30.3299298486491
264,-29.525347976952
266,-28.3177185860504
268,-27.2791793358047
270,-26.6068210504232
272,-25.8081643170291
274,-24.6784705581794
276,-23.6269590320967
278,-22.8102189504375
280,-22.1710458140293
282,-21.7743919961969
284,-21.4517901420869
286,-20.8724288919021
288,-20.1914488140658
290,-19.5741663852267
292,-18.7849597318425
294,-17.8037825886535
296,-17.0137658868217
298,-16.7737696753443
300,-17.0873618174723
302,-17.4890415026784
304,-17.4817638472337
306,-17.118001620005
308,-16.7938850372506
310,-16.8214675034847
312,-17.1274642589176
314,-17.0748100245827
316,-16.2913009588754
318,-15.5988190239548
320,-15.4324769756558
322,-15.1484805913128
324,-14.6175416219444
326,-14.5732501610394
328,-15.1001768913716
330,-15.5247563694472
332,-15.4245932714884
334,-15.1535952499254
336,-15.0515154806982
338,-14.9504282349979
340,-14.5893313457993
342,-14.1643120043647
344,-13.9854096963674
346,-14.057650752005
348,-14.1529756808909
350,-14.0510596137598
352,-13.7492903724012
354,-13.4401573718751
356,-13.2979408733125
358,-13.3531011591655
360,-13.5131450794501
