"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -2.47951114643E+000, +0.00000000000E+000
+1.02750000000E+008, -2.50411262438E+000, +0.00000000000E+000
+1.05500000000E+008, -2.52873251310E+000, +0.00000000000E+000
+1.08250000000E+008, -2.55194082578E+000, +0.00000000000E+000
+1.11000000000E+008, -2.57449143576E+000, +0.00000000000E+000
+1.13750000000E+008, -2.59519697593E+000, +0.00000000000E+000
+1.16500000000E+008, -2.61394618878E+000, +0.00000000000E+000
+1.19250000000E+008, -2.63057896439E+000, +0.00000000000E+000
+1.22000000000E+008, -2.64520414373E+000, +0.00000000000E+000
+1.24750000000E+008, -2.65805005326E+000, +0.00000000000E+000
+1.27500000000E+008, -2.66927732577E+000, +0.00000000000E+000
+1.30250000000E+008, -2.67936348950E+000, +0.00000000000E+000
+1.33000000000E+008, -2.68876130363E+000, +0.00000000000E+000
+1.35750000000E+008, -2.70186237638E+000, +0.00000000000E+000
+1.38500000000E+008, -2.71414656272E+000, +0.00000000000E+000
+1.41250000000E+008, -2.72584616255E+000, +0.00000000000E+000
+1.44000000000E+008, -2.73671477147E+000, +0.00000000000E+000
+1.46750000000E+008, -2.74660965010E+000, +0.00000000000E+000
+1.49500000000E+008, -2.75587002614E+000, +0.00000000000E+000
+1.52250000000E+008, -2.76421630056E+000, +0.00000000000E+000
+1.55000000000E+008, -2.77181311753E+000, +0.00000000000E+000
+1.57750000000E+008, -2.77864644542E+000, +0.00000000000E+000
+1.60500000000E+008, -2.78494320492E+000, +0.00000000000E+000
+1.63250000000E+008, -2.79083897073E+000, +0.00000000000E+000
+1.66000000000E+008, -2.79643529043E+000, +0.00000000000E+000
+1.68750000000E+008, -2.80185846372E+000, +0.00000000000E+000
+1.71500000000E+008, -2.80736568257E+000, +0.00000000000E+000
+1.74250000000E+008, -2.81302613036E+000, +0.00000000000E+000
+1.77000000000E+008, -2.81882007186E+000, +0.00000000000E+000
+1.79750000000E+008, -2.82474513562E+000, +0.00000000000E+000
+1.82500000000E+008, -2.83093298011E+000, +0.00000000000E+000
+1.85250000000E+008, -2.83733738558E+000, +0.00000000000E+000
+1.88000000000E+008, -2.84394324464E+000, +0.00000000000E+000
+1.90750000000E+008, -2.85043013655E+000, +0.00000000000E+000
+1.93500000000E+008, -2.85699891108E+000, +0.00000000000E+000
+1.96250000000E+008, -2.86364356813E+000, +0.00000000000E+000
+1.99000000000E+008, -2.87039242427E+000, +0.00000000000E+000
+2.01750000000E+008, -2.87738685937E+000, +0.00000000000E+000
+2.04500000000E+008, -2.88457118335E+000, +0.00000000000E+000
+2.07250000000E+008, -2.89230411528E+000, +0.00000000000E+000
+2.10000000000E+008, -2.90044879167E+000, +0.00000000000E+000
+2.12750000000E+008, -2.90910328973E+000, +0.00000000000E+000
+2.15500000000E+008, -2.91843091045E+000, +0.00000000000E+000
+2.18250000000E+008, -2.92817669238E+000, +0.00000000000E+000
+2.21000000000E+008, -2.93842139655E+000, +0.00000000000E+000
+2.23750000000E+008, -2.94910594683E+000, +0.00000000000E+000
+2.26500000000E+008, -2.96012685785E+000, +0.00000000000E+000
+2.29250000000E+008, -2.97153137756E+000, +0.00000000000E+000
+2.32000000000E+008, -2.98338885205E+000, +0.00000000000E+000
+2.34750000000E+008, -2.99562004866E+000, +0.00000000000E+000
+2.37500000000E+008, -3.00847752626E+000, +0.00000000000E+000
+2.40250000000E+008, -3.02184982432E+000, +0.00000000000E+000
+2.43000000000E+008, -3.03593524282E+000, +0.00000000000E+000
+2.45750000000E+008, -3.05084739363E+000, +0.00000000000E+000
+2.48500000000E+008, -3.06640559455E+000, +0.00000000000E+000
+2.51250000000E+008, -3.08279365255E+000, +0.00000000000E+000
+2.54000000000E+008, -3.09981626615E+000, +0.00000000000E+000
+2.56750000000E+008, -3.11759618112E+000, +0.00000000000E+000
+2.59500000000E+008, -3.13602981748E+000, +0.00000000000E+000
+2.62250000000E+008, -3.15503246344E+000, +0.00000000000E+000
+2.65000000000E+008, -3.17469722379E+000, +0.00000000000E+000
+2.67750000000E+008, -3.19483384112E+000, +0.00000000000E+000
+2.70500000000E+008, -3.21557791978E+000, +0.00000000000E+000
+2.73250000000E+008, -3.23694349549E+000, +0.00000000000E+000
+2.76000000000E+008, -3.25894660586E+000, +0.00000000000E+000
+2.78750000000E+008, -3.28162206751E+000, +0.00000000000E+000
+2.81500000000E+008, -3.30510004383E+000, +0.00000000000E+000
+2.84250000000E+008, -3.32968857172E+000, +0.00000000000E+000
+2.87000000000E+008, -3.35549943887E+000, +0.00000000000E+000
+2.89750000000E+008, -3.38258507518E+000, +0.00000000000E+000
+2.92500000000E+008, -3.41071635996E+000, +0.00000000000E+000
+2.95250000000E+008, -3.44011656210E+000, +0.00000000000E+000
+2.98000000000E+008, -3.47053675117E+000, +0.00000000000E+000
+3.00750000000E+008, -3.50197320668E+000, +0.00000000000E+000
+3.03500000000E+008, -3.53452804649E+000, +0.00000000000E+000
+3.06250000000E+008, -3.56796116366E+000, +0.00000000000E+000
+3.09000000000E+008, -3.60221251219E+000, +0.00000000000E+000
+3.11750000000E+008, -3.63743902034E+000, +0.00000000000E+000
+3.14500000000E+008, -3.67350065585E+000, +0.00000000000E+000
+3.17250000000E+008, -3.71061222415E+000, +0.00000000000E+000
+3.20000000000E+008, -3.74877178382E+000, +0.00000000000E+000
+3.22750000000E+008, -3.78822678327E+000, +0.00000000000E+000
+3.25500000000E+008, -3.82908485049E+000, +0.00000000000E+000
+3.28250000000E+008, -3.87165513960E+000, +0.00000000000E+000
+3.31000000000E+008, -3.91613612691E+000, +0.00000000000E+000
+3.33750000000E+008, -3.96234710925E+000, +0.00000000000E+000
