"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -1.88933296197E+000, +0.00000000000E+000
+1.02750000000E+008, -1.89667158043E+000, +0.00000000000E+000
+1.05500000000E+008, -1.91308818689E+000, +0.00000000000E+000
+1.08250000000E+008, -1.93577040655E+000, +0.00000000000E+000
+1.11000000000E+008, -1.95938763368E+000, +0.00000000000E+000
+1.13750000000E+008, -1.98731293800E+000, +0.00000000000E+000
+1.16500000000E+008, -2.01573158469E+000, +0.00000000000E+000
+1.19250000000E+008, -2.05013363984E+000, +0.00000000000E+000
+1.22000000000E+008, -2.08712447908E+000, +0.00000000000E+000
+1.24750000000E+008, -2.12455847582E+000, +0.00000000000E+000
+1.27500000000E+008, -2.16490346782E+000, +0.00000000000E+000
+1.30250000000E+008, -2.20928244862E+000, +0.00000000000E+000
+1.33000000000E+008, -2.25275174811E+000, +0.00000000000E+000
+1.35750000000E+008, -2.28820446922E+000, +0.00000000000E+000
+1.38500000000E+008, -2.32415217905E+000, +0.00000000000E+000
+1.41250000000E+008, -2.36244838902E+000, +0.00000000000E+000
+1.44000000000E+008, -2.40306530932E+000, +0.00000000000E+000
+1.46750000000E+008, -2.44564369822E+000, +0.00000000000E+000
+1.49500000000E+008, -2.49012969931E+000, +0.00000000000E+000
+1.52250000000E+008, -2.53745205497E+000, +0.00000000000E+000
+1.55000000000E+008, -2.58759249801E+000, +0.00000000000E+000
+1.57750000000E+008, -2.63963931902E+000, +0.00000000000E+000
+1.60500000000E+008, -2.69424181954E+000, +0.00000000000E+000
+1.63250000000E+008, -2.75291807439E+000, +0.00000000000E+000
+1.66000000000E+008, -2.81591847241E+000, +0.00000000000E+000
+1.68750000000E+008, -2.88223351473E+000, +0.00000000000E+000
+1.71500000000E+008, -2.95232722337E+000, +0.00000000000E+000
+1.74250000000E+008, -3.02811247856E+000, +0.00000000000E+000
+1.77000000000E+008, -3.11130073541E+000, +0.00000000000E+000
+1.79750000000E+008, -3.20241193928E+000, +0.00000000000E+000
+1.82500000000E+008, -3.29914360311E+000, +0.00000000000E+000
+1.85250000000E+008, -3.39736820958E+000, +0.00000000000E+000
+1.88000000000E+008, -3.49501597124E+000, +0.00000000000E+000
+1.90750000000E+008, -3.59237301784E+000, +0.00000000000E+000
+1.93500000000E+008, -3.69266866335E+000, +0.00000000000E+000
+1.96250000000E+008, -3.79789401264E+000, +0.00000000000E+000
+1.99000000000E+008, -3.91103318362E+000, +0.00000000000E+000
+2.01750000000E+008, -4.03599509287E+000, +0.00000000000E+000
+2.04500000000E+008, -4.17257546986E+000, +0.00000000000E+000
+2.07250000000E+008, -4.31837488758E+000, +0.00000000000E+000
+2.10000000000E+008, -4.46990950890E+000, +0.00000000000E+000
+2.12750000000E+008, -4.62662745903E+000, +0.00000000000E+000
+2.15500000000E+008, -4.77826468094E+000, +0.00000000000E+000
+2.18250000000E+008, -4.92037080860E+000, +0.00000000000E+000
+2.21000000000E+008, -5.05550740250E+000, +0.00000000000E+000
+2.23750000000E+008, -5.18332611610E+000, +0.00000000000E+000
+2.26500000000E+008, -5.30106051268E+000, +0.00000000000E+000
+2.29250000000E+008, -5.40414077986E+000, +0.00000000000E+000
+2.32000000000E+008, -5.48795976535E+000, +0.00000000000E+000
+2.34750000000E+008, -5.54984172002E+000, +0.00000000000E+000
+2.37500000000E+008, -5.58969575943E+000, +0.00000000000E+000
+2.40250000000E+008, -5.60716808023E+000, +0.00000000000E+000
+2.43000000000E+008, -5.60188891988E+000, +0.00000000000E+000
+2.45750000000E+008, -5.57415879796E+000, +0.00000000000E+000
+2.48500000000E+008, -5.52625762994E+000, +0.00000000000E+000
+2.51250000000E+008, -5.46271785877E+000, +0.00000000000E+000
+2.54000000000E+008, -5.39003687869E+000, +0.00000000000E+000
+2.56750000000E+008, -5.31206506962E+000, +0.00000000000E+000
+2.59500000000E+008, -5.22989419384E+000, +0.00000000000E+000
+2.62250000000E+008, -5.14017686308E+000, +0.00000000000E+000
+2.65000000000E+008, -5.04031029634E+000, +0.00000000000E+000
+2.67750000000E+008, -4.92849084302E+000, +0.00000000000E+000
+2.70500000000E+008, -4.80230021046E+000, +0.00000000000E+000
+2.73250000000E+008, -4.66326308328E+000, +0.00000000000E+000
+2.76000000000E+008, -4.51417334927E+000, +0.00000000000E+000
+2.78750000000E+008, -4.35753048149E+000, +0.00000000000E+000
+2.81500000000E+008, -4.19305078998E+000, +0.00000000000E+000
+2.84250000000E+008, -4.03122402286E+000, +0.00000000000E+000
+2.87000000000E+008, -3.87760376733E+000, +0.00000000000E+000
+2.89750000000E+008, -3.73035912430E+000, +0.00000000000E+000
+2.92500000000E+008, -3.59045330381E+000, +0.00000000000E+000
+2.95250000000E+008, -3.46092442386E+000, +0.00000000000E+000
+2.98000000000E+008, -3.34506178870E+000, +0.00000000000E+000
+3.00750000000E+008, -3.24559744911E+000, +0.00000000000E+000
+3.03500000000E+008, -3.16346673198E+000, +0.00000000000E+000
+3.06250000000E+008, -3.09739047198E+000, +0.00000000000E+000
+3.09000000000E+008, -3.04698048903E+000, +0.00000000000E+000
+3.11750000000E+008, -3.01256841230E+000, +0.00000000000E+000
+3.14500000000E+008, -2.99351010132E+000, +0.00000000000E+000
+3.17250000000E+008, -2.98776167353E+000, +0.00000000000E+000
+3.20000000000E+008, -2.99269889844E+000, +0.00000000000E+000
+3.22750000000E+008, -3.00613491859E+000, +0.00000000000E+000
+3.25500000000E+008, -3.02527124954E+000, +0.00000000000E+000
+3.28250000000E+008, -3.04742918593E+000, +0.00000000000E+000
+3.31000000000E+008, -3.07315454029E+000, +0.00000000000E+000
+3.33750000000E+008, -3.10288265528E+000, +0.00000000000E+000
+3.36500000000E+008, -3.13622882362E+000, +0.00000000000E+000
+3.39250000000E+008, -3.17248183497E+000, +0.00000000000E+000
+3.42000000000E+008, -3.21072883025E+000, +0.00000000000E+000
+3.44750000000E+008, -3.25015011558E+000, +0.00000000000E+000
+3.47500000000E+008, -3.29039127297E+000, +0.00000000000E+000
+3.50250000000E+008, -3.33236557463E+000, +0.00000000000E+000
+3.53000000000E+008, -3.37591585548E+000, +0.00000000000E+000
+3.55750000000E+008, -3.42016913453E+000, +0.00000000000E+000
+3.58500000000E+008, -3.46425920711E+000, +0.00000000000E+000
+3.61250000000E+008, -3.50723564141E+000, +0.00000000000E+000
+3.64000000000E+008, -3.54876584838E+000, +0.00000000000E+000
+3.66750000000E+008, -3.58925753058E+000, +0.00000000000E+000
+3.69500000000E+008, -3.62995107609E+000, +0.00000000000E+000
+3.72250000000E+008, -3.67196387344E+000, +0.00000000000E+000
+3.75000000000E+008, -3.71641629553E+000, +0.00000000000E+000
+3.77750000000E+008, -3.76328180234E+000, +0.00000000000E+000
+3.80500000000E+008, -3.80997998244E+000, +0.00000000000E+000
+3.83250000000E+008, -3.85521724321E+000, +0.00000000000E+000
+3.86000000000E+008, -3.89840660483E+000, +0.00000000000E+000
+3.88750000000E+008, -3.94019428914E+000, +0.00000000000E+000
+3.91500000000E+008, -3.98109245882E+000, +0.00000000000E+000
+3.94250000000E+008, -4.02212246738E+000, +0.00000000000E+000
+3.97000000000E+008, -4.06395194994E+000, +0.00000000000E+000
+3.99750000000E+008, -4.10666935991E+000, +0.00000000000E+000
+4.02500000000E+008, -4.15092792578E+000, +0.00000000000E+000
+4.05250000000E+008, -4.19743495598E+000, +0.00000000000E+000
+4.08000000000E+008, -4.24686870872E+000, +0.00000000000E+000
+4.10750000000E+008, -4.29944236125E+000, +0.00000000000E+000
