"Freq [GHz]","dB(S(SMA_connector_FPRFS_IP1_1,SMA_connector_FPRFS_IP1_1)) []"
0.1,-2.53885362735467
0.11,-2.57339471362097
0.12,-2.60268786544509
0.13,-2.62034348389646
0.14,-2.62401790458092
0.15,-2.61367990750272
0.16,-2.59053215173384
0.17,-2.55635259461828
0.18,-2.51310343089847
0.19,-2.46270895844676
0.2,-2.40693869064586
0.21,-2.34735470867505
0.22,-2.2852970222486
0.23,-2.22189034471005
0.24,-2.1580619564806
0.25,-2.0945643805054
0.26,-2.03199918297076
0.27,-1.97083984550776
0.28,-1.91145266576456
0.29,-1.85411525310063
0.3,-1.79903254102586
0.31,-1.74635043308522
0.32,-1.69616729577688
0.33,-1.64854355021168
0.34,-1.60350961849519
0.35,-1.56107246674694
0.36,-1.52122096372671
0.37,-1.48393024783188
0.38,-1.44916526896353
0.39,-1.41688364714099
0.4,-1.38703796757721
0.41,-1.35957761248058
0.42,-1.33445021309058
0.43,-1.31160279119706
0.44,-1.29098264737436
0.45,-1.27253804310062
0.46,-1.25621871555405
0.47,-1.24197625692881
0.48,-1.22976438436573
0.49,-1.21953912185299
0.5,-1.21125891154765
0.51,-1.20488466875983
0.52,-1.20037979220586
0.53,-1.19771013897482
0.54,-1.19684397188181
0.55,-1.19775188543071
0.56,-1.20040671542294
0.57,-1.20478343627968
0.58,-1.21085904935365
0.59,-1.21861246486181
0.6,-1.22802437954522
0.61,-1.23907715173622
0.62,-1.25175467516663
0.63,-1.26604225257167
0.64,-1.28192646991802
0.65,-1.29939507190333
0.66,-1.31843683922935
0.67,-1.3390414680346
0.68,-1.36119945178096
0.69,-1.38490196581599
0.7,-1.41014075477599
0.71,-1.43690802295047
0.72,-1.46519632769504
0.73,-1.49499847595302
0.74,-1.52630742392665
0.75,-1.55911617992355
0.76,-1.59341771039282
0.77,-1.62920484915643
0.78,-1.66647020983525
0.79,-1.70520610146331
0.8,-1.74540444727985
0.81,-1.78705670668467
0.82,-1.8301538003382
0.83,-1.87468603838433
0.84,-1.9206430517696
0.85,-1.96801372662796
0.86,-2.01678614169607
0.87,-2.06694750871825
0.88,-2.11848411579551
0.89,-2.17138127362683
0.9,-2.22562326458541
0.91,-2.28119329456638
0.92,-2.33807344753671
0.93,-2.39624464271239
0.94,-2.45568659428252
0.95,-2.51637777359521
0.96,-2.57829537371623
0.97,-2.6414152762676
0.98,-2.70571202045154
0.99,-2.7711587741641
1,-2.83772730710251
1.01,-2.90538796577299
1.02,-2.97410965030825
1.03,-3.04385979300974
1.04,-3.11460433853655
1.05,-3.18630772567191
1.06,-3.25893287060935
1.07,-3.332441151714
1.08,-3.40679239573026
1.09,-3.48194486542325
1.1,-3.55785524866425
1.11,-3.63447864898856
1.12,-3.71176857768211
1.13,-3.78967694747684
1.14,-3.86815406796361
1.15,-3.94714864286225
1.16,-4.02660776931848
1.17,-4.10647693943064
1.18,-4.18670004424361
1.19,-4.26721938048127
1.2,-4.34797566032341
1.21,-4.42890802456921
1.22,-4.50995405956231
1.23,-4.59104981828644
1.24,-4.67212984607225
1.25,-4.75312721138523
1.26,-4.83397354219031
1.27,-4.91459906841251
1.28,-4.99493267102988
1.29,-5.0749019383481
1.3,-5.1544332300135
1.31,-5.23345174931914
1.32,-5.31188162435199
1.33,-5.38964599851075
1.34,-5.46666713089967
1.35,-5.54286650706595
1.36,-5.61816496049995
1.37,-5.69248280526568
1.38,-5.7657399800537
1.39,-5.83785620387279
1.4,-5.9087511435076
1.41,-5.97834459276735
1.42,-6.04655666344514
1.43,-6.11330798778843
1.44,-6.17851993216758
1.45,-6.24211482149782
1.46,-6.30401617385366
1.47,-6.36414894459348
1.48,-6.42243977920106
1.49,-6.47881727394945
1.5,-6.53321224341502
1.51,-6.58555799380466
1.52,-6.63579060103094
1.53,-6.68384919247157
1.54,-6.72967623139196
1.55,-6.77321780310292
1.56,-6.81442390207006
1.57,-6.85324871939815
1.58,-6.88965093039444
1.59,-6.92359398226536
1.6,-6.95504638245265
1.61,-6.98398198864364
1.62,-7.01038030214997
1.63,-7.03422676710824
1.64,-7.05551307887398
1.65,-7.07423750603063
1.66,-7.090405231687
1.67,-7.10402872118239
1.68,-7.11512812501378
1.69,-7.12373172778636
1.7,-7.12987645632356
1.71,-7.1336084628284
1.72,-7.13498380225794
1.73,-7.13406922697996
1.74,-7.13094312644099
1.75,-7.12569664522839
1.76,-7.11843501971044
1.77,-7.10927918173799
1.78,-7.09836768800417
1.79,-7.0858590460461
1.8,-7.07193452307019
1.81,-7.05680154249371
1.82,-7.04069779611568
1.83,-7.02389622823135
1.84,-7.00671108298008
1.85,-6.98950524927516
1.86,-6.97269919054667
1.87,-6.95678181122128
1.88,-6.94232369059347
1.89,-6.9299932097589
1.9,-6.92057621073599
1.91,-6.91499996020136
1.92,-6.91436234347609
1.93,-6.91996738486282
1.94,-6.93336837093
1.95,-6.95642002948691
1.96,-6.9913413637676
1.97,-7.04079081939797
1.98,-7.10795541468578
1.99,-7.19665522084601
2,-7.31146406287785
2.01,-7.45784647981077
2.02,-7.64230989448785
2.03,-7.87256989307255
2.04,-8.15772623705683
2.05,-8.50844915237375
2.06,-8.93718188066548
2.07,-9.45837953499516
2.08,-10.0888288882551
2.09,-10.8481285662339
2.1,-11.7594422397256
2.11,-12.8506177261086
2.12,-14.1555004181735
2.13,-15.7140137568161
2.14,-17.5642901389922
2.15,-19.6986610264832
2.16,-21.8852414619835
2.17,-23.2702800823785
2.18,-22.8362019670412
2.19,-21.14394066475
2.2,-19.2676913018637
2.21,-17.607484681165
2.22,-16.2114233194581
2.23,-15.043416937196
2.24,-14.0588562537819
2.25,-13.2201308996001
2.26,-12.4979468776909
2.27,-11.8698566464574
2.28,-11.3186132164002
2.29,-10.8308503663544
2.3,-10.3961055001044
2.31,-10.0061107429594
2.32,-9.6542787755442
2.33,-9.33532728197934
2.34,-9.04500212751376
2.35,-8.77987151252859
2.36,-8.53717183385567
2.37,-8.31469180075176
2.38,-8.11068533414731
2.39,-7.92380651998958
2.4,-7.75306179323831
2.41,-7.59777586404631
2.42,-7.45756883523619
2.43,-7.33234261195024
2.44,-7.22227514006188
2.45,-7.12782127024774
2.46,-7.04971914924456
2.47,-6.98900099317641
2.48,-6.94700689357512
2.49,-6.92539993257125
2.5,-6.92618032780824
2.51,-6.95169558681909
2.52,-7.00464274111274
2.53,-7.08805769779857
2.54,-7.20528567083125
2.55,-7.35992563568709
2.56,-7.55574086717233
2.57,-7.79652682791099
2.58,-8.08592666372269
2.59,-8.42718257255783
2.6,-8.82280702202376
2.61,-9.27414945368521
2.62,-9.78082036280645
2.63,-10.3399166640397
2.64,-10.9449786799637
2.65,-11.584625575567
2.66,-12.2409198269726
2.67,-12.8877987247428
2.68,-13.4904672974935
2.69,-14.0073323501557
2.7,-14.396122860435
2.71,-14.6240102566743
2.72,-14.6777862734802
2.73,-14.5679304994645
2.74,-14.3237006099733
2.75,-13.9827719151936
2.76,-13.5815805953166
2.77,-13.1498601716101
2.78,-12.7092159252853
2.79,-12.2740158012217
2.8,-11.8530741494525
2.81,-11.4512998587313
2.82,-11.071009990252
2.83,-10.712877083488
2.84,-10.376574580421
2.85,-10.0612011158366
2.86,-9.76555234794238
2.87,-9.48829122472369
2.88,-9.22805199531344
2.89,-8.98350161354551
2.9,-8.75337406061563
2.91,-8.53648766546043
2.92,-8.33175191790271
2.93,-8.13816793745565
2.94,-7.95482525119823
2.95,-7.78089655979712
2.96,-7.61563154286653
2.97,-7.45835035087569
2.98,-7.30843717156183
2.99,-7.16533409321129
3,-7.02853538216995
3.01,-6.89758222622595
3.02,-6.77205795517211
3.03,-6.65158372587927
3.04,-6.53581464578155
3.05,-6.42443630185349
3.06,-6.31716165956981
3.07,-6.21372829625523
3.08,-6.11389593465098
3.09,-6.01744424477741
3.1,-5.92417088478643
3.11,-5.8338897542349
3.12,-5.74642943592605
3.13,-5.66163180499364
3.14,-5.57935078630165
3.15,-5.49945124337789
3.16,-5.42180798404436
3.17,-5.3463048696687
3.18,-5.27283401649149
3.19,-5.20129507886771
3.2,-5.13159460547532
3.21,-5.0636454606097
3.22,-4.99736630362323
3.23,-4.93268112040801
3.24,-4.86951880153992
3.25,-4.80781276235303
3.26,-4.74750060077761
3.27,-4.68852378927743
3.28,-4.63082739767048
3.29,-4.5743598440027
3.3,-4.51907267100246
3.31,-4.46492034595965
3.32,-4.41186008214726
3.33,-4.35985168016674
3.34,-4.30885738782768
3.35,-4.25884177738618
3.36,-4.20977163916728
3.37,-4.16161589077772
3.38,-4.11434550130083
3.39,-4.0679334300291
3.4,-4.02235457945977
3.41,-3.97758576244881
3.42,-3.93360568358609
3.43,-3.890394935026
3.44,-3.84793600720163
3.45,-3.80621331502934
3.46,-3.76521324044087
3.47,-3.72492419229353
3.48,-3.68533668497303
3.49,-3.64644343728702
3.5,-3.60823949356803
3.51,-3.57072236926252
3.52,-3.53389222370517
3.53,-3.49775206324791
3.54,-3.46230797845725
3.55,-3.42756941973169
3.56,-3.39354951641199
3.57,-3.36026544531347
3.58,-3.32773885559143
3.59,-3.29599635799795
3.6,-3.26507008793465
3.61,-3.23499835325781
3.62,-3.20582637962988
3.63,-3.17760716833344
3.64,-3.15040248395218
3.65,-3.12428399222774
3.66,-3.09933457177183
3.67,-3.075649827239
3.68,-3.05333983610529
3.69,-3.03253116643233
3.7,-3.01336920900169
3.71,-2.99602087402532
3.72,-2.98067771031489
3.73,-2.96755951331221
3.74,-2.95691849762826
3.75,-2.94904411949837
3.76,-2.94426864439182
3.77,-2.94297356418606
3.78,-2.94559697563346
3.79,-2.95264203547105
3.8,-2.96468660464298
3.81,-2.98239418058876
3.82,-3.00652618636502
3.83,-3.03795562994299
3.84,-3.0776820543012
3.85,-3.12684755233966
3.86,-3.18675339781657
3.87,-3.25887651495836
3.88,-3.34488453728001
3.89,-3.44664754343963
3.9,-3.56624364846325
3.91,-3.70595440861955
3.92,-3.86824439998672
3.93,-4.05571729006942
3.94,-4.27103819041208
3.95,-4.51680904765515
3.96,-4.79538038389818
3.97,-5.10857912986035
3.98,-5.45732939932686
3.99,-5.84114275496555
4,-6.25746111959105
4.01,-6.7008577142013
4.02,-7.16215450146115
4.03,-7.62761899388894
4.04,-8.07857030152065
4.05,-8.49191509578027
4.06,-8.84219562282647
4.07,-9.1053904311993
4.08,-9.26379553971106
4.09,-9.31022277404953
4.1,-9.24950531697636
4.11,-9.09654018324065
4.12,-8.87198330992401
4.13,-8.59765718360681
4.14,-8.29322197288768
4.15,-7.97454282087919
4.16,-7.65339396962871
4.17,-7.3379148191014
4.18,-7.03334725639748
4.19,-6.74278025969513
4.2,-6.46778231131778
4.21,-6.20889178756965
4.22,-5.96597673752899
4.23,-5.73848920919619
4.24,-5.52564012666553
4.25,-5.32651674088918
4.26,-5.14015967567287
4.27,-4.9656120807063
4.28,-4.80194981490137
4.29,-4.64829890246691
4.3,-4.50384457189102
4.31,-4.36783482514908
4.32,-4.23958053621021
4.33,-4.11845342399197
4.34,-4.00388279673151
4.35,-3.8953516590327
4.36,-3.79239256522082
4.37,-3.69458346227705
4.38,-3.60154367128813
4.39,-3.51293009342756
4.4,-3.42843368497071
4.41,-3.34777621887574
4.42,-3.27070733333885
4.43,-3.19700185723732
4.44,-3.1264573963126
4.45,-3.05889216081327
4.46,-2.99414301409148
4.47,-2.93206372163401
4.48,-2.87252338073735
4.49,-2.81540501219455
4.5,-2.76060429673926
