"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -2.00076600372E-001, +0.00000000000E+000
+1.02750000000E+008, -1.99281608632E-001, +0.00000000000E+000
+1.05500000000E+008, -2.01174355467E-001, +0.00000000000E+000
+1.08250000000E+008, -2.00207129637E-001, +0.00000000000E+000
+1.11000000000E+008, -2.01210305842E-001, +0.00000000000E+000
+1.13750000000E+008, -2.00607621473E-001, +0.00000000000E+000
+1.16500000000E+008, -2.01802037348E-001, +0.00000000000E+000
+1.19250000000E+008, -2.01744127459E-001, +0.00000000000E+000
+1.22000000000E+008, -2.01408987473E-001, +0.00000000000E+000
+1.24750000000E+008, -2.01842655208E-001, +0.00000000000E+000
+1.27500000000E+008, -2.01253258944E-001, +0.00000000000E+000
+1.30250000000E+008, -2.01164825453E-001, +0.00000000000E+000
+1.33000000000E+008, -2.01057886991E-001, +0.00000000000E+000
+1.35750000000E+008, -2.01352866711E-001, +0.00000000000E+000
+1.38500000000E+008, -2.01086500939E-001, +0.00000000000E+000
+1.41250000000E+008, -2.00360960217E-001, +0.00000000000E+000
+1.44000000000E+008, -1.99645121770E-001, +0.00000000000E+000
+1.46750000000E+008, -1.99712263124E-001, +0.00000000000E+000
+1.49500000000E+008, -1.99834009253E-001, +0.00000000000E+000
+1.52250000000E+008, -1.99535629015E-001, +0.00000000000E+000
+1.55000000000E+008, -1.98875229452E-001, +0.00000000000E+000
+1.57750000000E+008, -1.98663344983E-001, +0.00000000000E+000
+1.60500000000E+008, -1.98863074274E-001, +0.00000000000E+000
+1.63250000000E+008, -1.98609668796E-001, +0.00000000000E+000
+1.66000000000E+008, -1.97515351150E-001, +0.00000000000E+000
+1.68750000000E+008, -1.96374031849E-001, +0.00000000000E+000
+1.71500000000E+008, -1.95998691074E-001, +0.00000000000E+000
+1.74250000000E+008, -1.96045774120E-001, +0.00000000000E+000
+1.77000000000E+008, -1.95591912959E-001, +0.00000000000E+000
+1.79750000000E+008, -1.94713573236E-001, +0.00000000000E+000
+1.82500000000E+008, -1.94265934372E-001, +0.00000000000E+000
+1.85250000000E+008, -1.94252206983E-001, +0.00000000000E+000
+1.88000000000E+008, -1.94169331211E-001, +0.00000000000E+000
+1.90750000000E+008, -1.93805332456E-001, +0.00000000000E+000
+1.93500000000E+008, -1.93811956279E-001, +0.00000000000E+000
+1.96250000000E+008, -1.93962300359E-001, +0.00000000000E+000
+1.99000000000E+008, -1.93689048858E-001, +0.00000000000E+000
+2.01750000000E+008, -1.92896119368E-001, +0.00000000000E+000
+2.04500000000E+008, -1.92542589110E-001, +0.00000000000E+000
+2.07250000000E+008, -1.93054907148E-001, +0.00000000000E+000
+2.10000000000E+008, -1.93564366721E-001, +0.00000000000E+000
+2.12750000000E+008, -1.93346015567E-001, +0.00000000000E+000
+2.15500000000E+008, -1.92808758613E-001, +0.00000000000E+000
+2.18250000000E+008, -1.92765893171E-001, +0.00000000000E+000
+2.21000000000E+008, -1.92930817671E-001, +0.00000000000E+000
+2.23750000000E+008, -1.92601419918E-001, +0.00000000000E+000
+2.26500000000E+008, -1.92004032344E-001, +0.00000000000E+000
+2.29250000000E+008, -1.91863330790E-001, +0.00000000000E+000
+2.32000000000E+008, -1.92027427890E-001, +0.00000000000E+000
+2.34750000000E+008, -1.91833668005E-001, +0.00000000000E+000
+2.37500000000E+008, -1.91299136454E-001, +0.00000000000E+000
+2.40250000000E+008, -1.91336913374E-001, +0.00000000000E+000
+2.43000000000E+008, -1.91921090721E-001, +0.00000000000E+000
+2.45750000000E+008, -1.92127565860E-001, +0.00000000000E+000
+2.48500000000E+008, -1.91518182852E-001, +0.00000000000E+000
+2.51250000000E+008, -1.91024718505E-001, +0.00000000000E+000
+2.54000000000E+008, -1.91179793305E-001, +0.00000000000E+000
+2.56750000000E+008, -1.91087726886E-001, +0.00000000000E+000
+2.59500000000E+008, -1.90081941021E-001, +0.00000000000E+000
+2.62250000000E+008, -1.88935249321E-001, +0.00000000000E+000
+2.65000000000E+008, -1.88919186584E-001, +0.00000000000E+000
+2.67750000000E+008, -1.89336177063E-001, +0.00000000000E+000
+2.70500000000E+008, -1.88791506025E-001, +0.00000000000E+000
+2.73250000000E+008, -1.87404536067E-001, +0.00000000000E+000
+2.76000000000E+008, -1.86765936378E-001, +0.00000000000E+000
+2.78750000000E+008, -1.87058245916E-001, +0.00000000000E+000
+2.81500000000E+008, -1.86899192697E-001, +0.00000000000E+000
+2.84250000000E+008, -1.85782184979E-001, +0.00000000000E+000
+2.87000000000E+008, -1.85062205609E-001, +0.00000000000E+000
+2.89750000000E+008, -1.85507231397E-001, +0.00000000000E+000
+2.92500000000E+008, -1.85711744665E-001, +0.00000000000E+000
+2.95250000000E+008, -1.84429035325E-001, +0.00000000000E+000
+2.98000000000E+008, -1.82959905121E-001, +0.00000000000E+000
+3.00750000000E+008, -1.83151049894E-001, +0.00000000000E+000
+3.03500000000E+008, -1.84153518925E-001, +0.00000000000E+000
+3.06250000000E+008, -1.83671046409E-001, +0.00000000000E+000
+3.09000000000E+008, -1.81782417188E-001, +0.00000000000E+000
+3.11750000000E+008, -1.80900990080E-001, +0.00000000000E+000
+3.14500000000E+008, -1.81682029195E-001, +0.00000000000E+000
+3.17250000000E+008, -1.81941265959E-001, +0.00000000000E+000
+3.20000000000E+008, -1.80279460549E-001, +0.00000000000E+000
+3.22750000000E+008, -1.78464539700E-001, +0.00000000000E+000
+3.25500000000E+008, -1.78582741879E-001, +0.00000000000E+000
+3.28250000000E+008, -1.79499408762E-001, +0.00000000000E+000
+3.31000000000E+008, -1.79035878259E-001, +0.00000000000E+000
+3.33750000000E+008, -1.77465007112E-001, +0.00000000000E+000
+3.36500000000E+008, -1.76972702789E-001, +0.00000000000E+000
+3.39250000000E+008, -1.77647405048E-001, +0.00000000000E+000
+3.42000000000E+008, -1.77556174915E-001, +0.00000000000E+000
+3.44750000000E+008, -1.76136058190E-001, +0.00000000000E+000
+3.47500000000E+008, -1.75233821006E-001, +0.00000000000E+000
+3.50250000000E+008, -1.75670109760E-001, +0.00000000000E+000
+3.53000000000E+008, -1.75687395654E-001, +0.00000000000E+000
+3.55750000000E+008, -1.73992554823E-001, +0.00000000000E+000
+3.58500000000E+008, -1.72249782015E-001, +0.00000000000E+000
+3.61250000000E+008, -1.72367387144E-001, +0.00000000000E+000
+3.64000000000E+008, -1.73218715841E-001, +0.00000000000E+000
+3.66750000000E+008, -1.72480350237E-001, +0.00000000000E+000
+3.69500000000E+008, -1.70351398520E-001, +0.00000000000E+000
+3.72250000000E+008, -1.69294075940E-001, +0.00000000000E+000
+3.75000000000E+008, -1.69763366956E-001, +0.00000000000E+000
+3.77750000000E+008, -1.69644362413E-001, +0.00000000000E+000
+3.80500000000E+008, -1.67726009537E-001, +0.00000000000E+000
+3.83250000000E+008, -1.65789879588E-001, +0.00000000000E+000
+3.86000000000E+008, -1.65612959976E-001, +0.00000000000E+000
+3.88750000000E+008, -1.66079123361E-001, +0.00000000000E+000
+3.91500000000E+008, -1.65319425332E-001, +0.00000000000E+000
+3.94250000000E+008, -1.63665577688E-001, +0.00000000000E+000
+3.97000000000E+008, -1.62895676813E-001, +0.00000000000E+000
+3.99750000000E+008, -1.62974818490E-001, +0.00000000000E+000
+4.02500000000E+008, -1.62519085968E-001, +0.00000000000E+000
+4.05250000000E+008, -1.61116701637E-001, +0.00000000000E+000
+4.08000000000E+008, -1.60024739150E-001, +0.00000000000E+000
+4.10750000000E+008, -1.59607369115E-001, +0.00000000000E+000
+4.13500000000E+008, -1.58965111835E-001, +0.00000000000E+000
+4.16250000000E+008, -1.57555308768E-001, +0.00000000000E+000
+4.19000000000E+008, -1.56451620837E-001, +0.00000000000E+000
+4.21750000000E+008, -1.56111282585E-001, +0.00000000000E+000
+4.24500000000E+008, -1.55655912337E-001, +0.00000000000E+000
+4.27250000000E+008, -1.54283603298E-001, +0.00000000000E+000
+4.30000000000E+008, -1.52728596725E-001, +0.00000000000E+000
+4.32750000000E+008, -1.52105245010E-001, +0.00000000000E+000
+4.35500000000E+008, -1.51769108052E-001, +0.00000000000E+000
+4.38250000000E+008, -1.50711417957E-001, +0.00000000000E+000
+4.41000000000E+008, -1.49111145751E-001, +0.00000000000E+000
+4.43750000000E+008, -1.48171548216E-001, +0.00000000000E+000
+4.46500000000E+008, -1.47525995444E-001, +0.00000000000E+000
+4.49250000000E+008, -1.46288261883E-001, +0.00000000000E+000
+4.52000000000E+008, -1.44590108480E-001, +0.00000000000E+000
