"Freq [GHz]","dB(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
0.1,-0.184742376768006
0.11,-0.177696410575937
0.12,-0.171310280228975
0.13,-0.16547484841163
0.14,-0.160103556548799
0.15,-0.15512821425188
0.16,-0.150495282884319
0.17,-0.146162731602387
0.18,-0.142097459580017
0.19,-0.138273231080682
0.2,-0.134669050342054
0.21,-0.13126790017882
0.22,-0.128055773843193
0.23,-0.125020938999197
0.24,-0.122153382839203
0.25,-0.119444396972569
0.26,-0.116886269136587
0.27,-0.114472055851944
0.28,-0.112195415921984
0.29,-0.110050489303726
0.3,-0.108031809536284
0.31,-0.106134240771687
0.32,-0.104352932668923
0.33,-0.102683288116326
0.34,-0.10112094005015
0.35,-0.0996617346256159
0.36,-0.0983017187430361
0.37,-0.0970371304911061
0.38,-0.0958643914857042
0.39,-0.0947801003905355
0.4,-0.09378102713153
0.41,-0.0928641074804893
0.42,-0.0920264378007614
0.43,-0.0912652698308643
0.44,-0.0905780054392667
0.45,-0.08996219132264
0.46,-0.0894155136452326
0.47,-0.0889357926330078
0.48,-0.0885209771449753
0.49,-0.0881691392487008
0.5,-0.0878784688278807
0.51,-0.0876472682490783
0.52,-0.0874739471124742
0.53,-0.0873570171084659
0.54,-0.0872950869988348
0.55,-0.087286857737841
0.56,-0.0873311177454158
0.57,-0.0874267383415457
0.58,-0.087572669348578
0.59,-0.0877679348653145
0.6,-0.0880116292150925
0.61,-0.0883029130680462
0.62,-0.0886410097363591
0.63,-0.0890252016399446
0.64,-0.0894548269392147
0.65,-0.0899292763305314
0.66,-0.0904479899995416
0.67,-0.0910104547269987
0.68,-0.0916162011414476
0.69,-0.092264801112848
0.7,-0.0929558652811723
0.71,-0.0936890407139518
0.72,-0.0944640086867437
0.73,-0.0952804825806505
0.74,-0.0961382058910771
0.75,-0.0970369503421639
0.76,-0.0979765141013407
0.77,-0.0989567200888798
0.78,-0.0999774143774294
0.79,-0.101038464676703
0.8,-0.102139758898816
0.81,-0.103281203799922
0.82,-0.104462723694168
0.83,-0.105684259236025
0.84,-0.106945766267501
0.85,-0.108247214726754
0.86,-0.109588587615104
0.87,-0.110969880019311
0.88,-0.112391098186604
0.89,-0.113852258649801
0.9,-0.115353387400203
0.91,-0.116894519106222
0.92,-0.118475696375637
0.93,-0.120096969059845
0.94,-0.121758393598328
0.95,-0.123460032402041
0.96,-0.125201953274307
0.97,-0.126984228868094
0.98,-0.12880693617867
0.99,-0.130670156070732
1,-0.132573972839316
1.01,-0.134518473803809
1.02,-0.136503748934625
1.03,-0.138529890512108
1.04,-0.140596992817483
1.05,-0.14270515185559
1.06,-0.144854465109497
1.07,-0.147045031326933
1.08,-0.149276950338825
1.09,-0.151550322910063
1.1,-0.153865250623054
1.11,-0.156221835794339
1.12,-0.15862018142497
1.13,-0.161060391185275
1.14,-0.163542569434748
1.15,-0.166066821277914
1.16,-0.168633252657185
1.17,-0.171241970483675
1.18,-0.173893082807135
1.19,-0.176586699026329
1.2,-0.179322930141087
1.21,-0.182101889047575
1.22,-0.184923690878297
1.23,-0.187788453388479
1.24,-0.190696297390728
1.25,-0.193647347239673
1.26,-0.196641731368858
1.27,-0.199679582881769
1.28,-0.202761040199593
1.29,-0.205886247767909
1.3,-0.209055356824956
1.31,-0.212268526234314
1.32,-0.215525923384935
1.33,-0.218827725161416
1.34,-0.222174118988127
1.35,-0.225565303950573
1.36,-0.229001491997657
1.37,-0.232482909229001
1.38,-0.236009797271557
1.39,-0.239582414749939
1.4,-0.243201038855489
1.41,-0.246865967019205
1.42,-0.250577518694075
1.43,-0.254336037252892
1.44,-0.258141892007744
1.45,-0.261995480358312
1.46,-0.265897230076153
1.47,-0.269847601732941
1.48,-0.273847091281359
1.49,-0.277896232797775
1.5,-0.281995601396567
1.51,-0.286145816327151
1.52,-0.290347544264967
1.53,-0.29460150280947
1.54,-0.298908464202452
1.55,-0.30326925928169
1.56,-0.307684781686012
1.57,-0.312155992329349
1.58,-0.316683924162614
1.59,-0.321269687244671
