"Freq [GHz]","dB(S(SMA_connector_1_78mm1_1,SMA_connector_1_78mm1_1)) []"
0.1,-1.22793385274645
0.11,-1.23043887343242
0.12,-1.23300323633213
0.13,-1.23556005516483
0.14,-1.2380522619156
0.15,-1.24043180537419
0.16,-1.2426589251771
0.17,-1.24470146353931
0.18,-1.24653419031875
0.19,-1.24813813238583
0.2,-1.24949990903398
0.21,-1.25061108091205
0.22,-1.25146752190681
0.23,-1.25206882295525
0.24,-1.25241773504298
0.25,-1.25251965643036
0.26,-1.25238216692166
0.27,-1.2520146100238
0.28,-1.25142772224387
0.29,-1.2506333075759
0.3,-1.24964395439812
0.31,-1.24847279148931
0.32,-1.24713327961483
0.33,-1.2456390350696
0.34,-1.24400368164241
0.35,-1.24224072763826
0.36,-1.24036346482865
0.37,-1.23838488646448
0.38,-1.23631762176393
0.39,-1.23417388456303
0.4,-1.23196543408141
0.41,-1.22970354600241
0.42,-1.22739899229388
0.43,-1.22506202840049
0.44,-1.22270238662215
0.45,-1.22032927465479
0.46,-1.21795137841278
0.47,-1.21557686837691
0.48,-1.21321340882034
0.49,-1.21086816935898
0.5,-1.20854783835424
0.51,-1.20625863776616
0.52,-1.20400633911557
0.53,-1.20179628026563
0.54,-1.19963338277821
0.55,-1.19752216963865
0.56,-1.19546678317571
0.57,-1.19347100303173
0.58,-1.19153826406232
0.59,-1.18967167406606
0.6,-1.1878740312624
0.61,-1.18614784145144
0.62,-1.18449533480267
0.63,-1.18291848223098
0.64,-1.18141901132786
0.65,-1.17999842182445
0.66,-1.17865800056994
0.67,-1.17739883601498
0.68,-1.176221832195
0.69,-1.1751277222128
0.7,-1.17411708122349
0.71,-1.17319033892788
0.72,-1.17234779158336
0.73,-1.17158961354327
0.74,-1.17091586833768
0.75,-1.17032651931
0.76,-1.16982143982512
0.77,-1.16940042306569
0.78,-1.16906319143381
0.79,-1.16880940557632
0.8,-1.16863867305194
0.81,-1.16855055665917
0.82,-1.16854458244368
0.83,-1.16862024740458
0.84,-1.16877702691843
0.85,-1.16901438190045
0.86,-1.16933176572172
0.87,-1.16972863090184
0.88,-1.17020443559576
0.89,-1.17075864989387
0.9,-1.17139076195431
0.91,-1.17210028398614
0.92,-1.17288675810225
0.93,-1.17374976206103
0.94,-1.17468891491528
0.95,-1.1757038825875
0.96,-1.17679438339077
0.97,-1.17796019351407
0.98,-1.17920115249201
0.99,-1.18051716867849
1,-1.18190822474477
1.01,-1.18337438322251
1.02,-1.18491579211335
1.03,-1.1865326905869
1.04,-1.18822541479019
1.05,-1.18999440379213
1.06,-1.1918402056881
1.07,-1.19376348389065
1.08,-1.19576502363378
1.09,-1.19784573871978
1.1,-1.2000066785395
1.11,-1.20224903539874
1.12,-1.20457415218554
1.13,-1.20698353041594
1.14,-1.20947883869804
1.15,-1.21206192165763
1.16,-1.21473480937172
1.17,-1.21749972736023
1.18,-1.22035910719007
1.19,-1.22331559775071
1.2,-1.22637207726507
1.21,-1.2295316661058
1.22,-1.23279774049267
1.23,-1.23617394715443
1.24,-1.23966421904586
1.25,-1.24327279221972
1.26,-1.24700422396272
1.27,-1.25086341231566
1.28,-1.25485561710976
1.29,-1.25898648266444
1.3,-1.26326206230721
1.31,-1.26768884489267
1.32,-1.27227378351645
1.33,-1.27702432664103
1.34,-1.28194845187363
1.35,-1.28705470266311
1.36,-1.29235222821222
1.37,-1.29785082693494
1.38,-1.30356099382649
1.39,-1.30949397215584
1.4,-1.31566180993848
1.41,-1.32207742170157
1.42,-1.32875465611491
1.43,-1.33570837013066
1.44,-1.34295451035419
1.45,-1.35051020245804
1.46,-1.3583938495535
1.47,-1.36662524055141
1.48,-1.37522566967703
1.49,-1.38421806845664
1.5,-1.39362715166882
1.51,-1.40347957895409
1.52,-1.41380413400779
1.53,-1.4246319235472
1.54,-1.43599659855083
1.55,-1.44793460062274
1.56,-1.46048543674525
1.57,-1.47369198615998
1.58,-1.48760084367031
1.59,-1.50226270430236
1.6,-1.5177327950131
1.61,-1.53407136001095
1.62,-1.5513442072818
