"Freq [GHz]","mag(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
0.1,0.97899212155787
0.11,0.980597687780755
0.12,0.981966938079137
0.13,0.983136058763667
0.14,0.984136596414377
0.15,0.984995397877131
0.16,0.98573499183576
0.17,0.986374135958834
0.18,0.986928388535945
0.19,0.987410638992678
0.2,0.987831572005471
0.21,0.988200060319325
0.22,0.988523490829045
0.23,0.988808032186179
0.24,0.989058853008932
0.25,0.989280299250267
0.26,0.989476038228682
0.27,0.989649175650593
0.28,0.989802350839384
0.29,0.989937814408558
0.3,0.990057491793196
0.31,0.990163035377623
0.32,0.990255867409793
0.33,0.990337215454006
0.34,0.990408141783387
0.35,0.990469567835157
0.36,0.990522294630446
0.37,0.990567019884588
0.38,0.99060435239397
0.39,0.990634824174031
0.4,0.990658900733945
0.41,0.990676989802265
0.42,0.990689448760468
0.43,0.990696590995267
0.44,0.990698691343259
0.45,0.990695990771248
0.46,0.990688700411034
0.47,0.990677005047386
0.48,0.990661066141522
0.49,0.990641024458951
0.5,0.990617002359398
0.51,0.990589105797417
0.52,0.990557426074642
0.53,0.990522041378358
0.54,0.990483018135774
0.55,0.990440412208997
0.56,0.990394269952002
0.57,0.990344629147821
0.58,0.990291519841506
0.59,0.990234965082294
0.6,0.990174981586434
0.61,0.990111580330644
0.62,0.990044767084747
0.63,0.989974542890904
0.64,0.989900904495905
0.65,0.989823844742077
0.66,0.989743352921697
0.67,0.989659415099147
0.68,0.989572014404523
0.69,0.98948113130192
0.7,0.989386743835255
0.71,0.98928882785411
0.72,0.989187357221773
0.73,0.989082304007416
0.74,0.988973638664084
0.75,0.988861330194013
0.76,0.988745346302554
0.77,0.988625653541903
0.78,0.988502217445634
0.79,0.988375002654941
0.8,0.988243973037408
0.81,0.98810909179897
0.82,0.987970321589742
0.83,0.987827624604198
0.84,0.98768096267624
0.85,0.987530297369529
0.86,0.987375590063491
0.87,0.987216802035284
0.88,0.987053894538024
0.89,0.986886828875506
0.9,0.986715566473633
0.91,0.986540068948703
0.92,0.986360298172741
0.93,0.986176216335954
0.94,0.985987786006433
0.95,0.985794970187157
0.96,0.985597732370371
0.97,0.985396036589354
0.98,0.985189847467603
0.99,0.984979130265439
1,0.98476385092401
1.01,0.984543976106668
1.02,0.984319473237675
1.03,0.984090310538194
1.04,0.983856457059485
1.05,0.983617882713231
1.06,0.983374558298912
1.07,0.98312645552813
1.08,0.982873547045754
1.09,0.9826158064478
1.1,0.98235320829589
1.11,0.982085728128165
1.12,0.981813342466508
1.13,0.981536028819914
1.14,0.981253765683857
1.15,0.980966532535464
1.16,0.98067430982434
1.17,0.980377078958829
1.18,0.980074822287546
1.19,0.979767523075941
1.2,0.979455165477715
1.21,0.97913773450084
1.22,0.978815215967973
1.23,0.978487596471009
1.24,0.978154863319537
1.25,0.97781700448293
1.26,0.977474008525819
1.27,0.977125864536642
1.28,0.976772562049016
1.29,0.976414090955596
1.3,0.976050441414137
1.31,0.975681603745404
1.32,0.975307568322618
1.33,0.974928325452056
1.34,0.974543865244438
1.35,0.974154177476732
1.36,0.973759251443928
1.37,0.973359075800379
1.38,0.972953638390241
1.39,0.972542926066539
1.4,0.972126924498334
1.41,0.971705617965477
1.42,0.971278989140356
1.43,0.970847018856042
1.44,0.970409685860179
1.45,0.96996696655392
1.46,0.969518834715186
1.47,0.969065261205431
1.48,0.968606213659077
1.49,0.968141656154693
1.5,0.967671548866929
1.51,0.967195847698148
1.52,0.966714503888587
1.53,0.966227463603808
1.54,0.965734667498091
1.55,0.96523605025229
1.56,0.964731540084563
1.57,0.96422105823224
1.58,0.963704518402938
1.59,0.963181826192857
1.6,0.962652878470028
1.61,0.962117562720025
1.62,0.96157575635148
1.63,0.961027325958449
1.64,0.960472126536414
1.65,0.959910000648381
1.66,0.959340777537211
1.67,0.958764272179919
1.68,0.95818028427927
1.69,0.957588597187524
1.7,0.956988976756668
1.71,0.956381170108903
1.72,0.955764904320483
1.73,0.95513988501135
1.74,0.954505794832127
1.75,0.953862291839247
1.76,0.953209007747922
1.77,0.952545546051599
1.78,0.951871479995303
1.79,0.951186350388894
1.8,0.950489663244692
1.81,0.949780887222211
1.82,0.949059450860796
1.83,0.948324739578716
1.84,0.947576092414839
1.85,0.946812798486223
1.86,0.946034093131738
1.87,0.94523915370837
1.88,0.944427095002729
1.89,0.943596964215745
1.9,0.942747735473341
1.91,0.941878303809883
1.92,0.940987478564563
1.93,0.940073976123042
1.94,0.939136411927983
1.95,0.938173291671949
1.96,0.937183001574573
1.97,0.936163797632652
1.98,0.935113793716477
1.99,0.934030948368066
2,0.932913050136589
2.01,0.93175770126271
2.02,0.930562299496122
2.03,0.929324017798934
2.04,0.928039781650414
2.05,0.926706243625587
2.06,0.925319754869807
2.07,0.92387633303234
2.08,0.922371626152953
2.09,0.920800871914122
2.1,0.91915885157577
2.11,0.917439837796492
2.12,0.915637535411742
2.13,0.913745014081257
2.14,0.911754631530425
2.15,0.90965794588725
2.16,0.90744561535098
2.17,0.90510728311182
2.18,0.902631445062893
2.19,0.900005297393454
2.2,0.897214560611145
2.21,0.894243275892942
2.22,0.891073568888252
2.23,0.88768537516805
2.24,0.884056120402365
2.25,0.880160347021452
2.26,0.875969277537275
2.27,0.871450302832788
2.28,0.866566381529696
2.29,0.861275333990171
2.3,0.855529011581681
2.31,0.849272318558528
2.32,0.842442060376011
2.33,0.834965588652614
2.34,0.826759209722005
2.35,0.817726321470514
2.36,0.807755243138509
2.37,0.796716706966908
2.38,0.78446099220562
2.39,0.770814706133692
2.4,0.755577261163467
2.41,0.738517173485994
2.42,0.719368433963388
2.43,0.697827399466836
